#si 50
#nm 201
energy=397;biomass=44300;fitness=46300;lowestEnergy=0;highestEnergy=1001;meanEnergy=304.948;meanBiomass=21260.555;nGenes=22;nSites=70
energy=369;biomass=38070;fitness=40070;lowestEnergy=0;highestEnergy=992;meanEnergy=288.481;meanBiomass=18926.912;nGenes=20;nSites=42
energy=371;biomass=36770;fitness=38770;lowestEnergy=0;highestEnergy=990;meanEnergy=289.400;meanBiomass=19061.399;nGenes=20;nSites=29
energy=351;biomass=14660;fitness=16660;lowestEnergy=0;highestEnergy=979;meanEnergy=286.917;meanBiomass=7619.135;nGenes=20;nSites=27
energy=334;biomass=14400;fitness=16400;lowestEnergy=0;highestEnergy=983;meanEnergy=273.368;meanBiomass=7153.883;nGenes=20;nSites=46
energy=385;biomass=39630;fitness=41630;lowestEnergy=0;highestEnergy=969;meanEnergy=283.572;meanBiomass=20973.728;nGenes=20;nSites=50
energy=354;biomass=39470;fitness=41470;lowestEnergy=0;highestEnergy=974;meanEnergy=286.698;meanBiomass=20065.937;nGenes=20;nSites=51
energy=409;biomass=30620;fitness=32620;lowestEnergy=0;highestEnergy=988;meanEnergy=312.669;meanBiomass=16473.668;nGenes=20;nSites=45
energy=385;biomass=32570;fitness=34570;lowestEnergy=0;highestEnergy=998;meanEnergy=295.702;meanBiomass=15993.888;nGenes=20;nSites=45
energy=324;biomass=10770;fitness=12770;lowestEnergy=0;highestEnergy=1007;meanEnergy=284.124;meanBiomass=5415.292;nGenes=21;nSites=41
energy=242;biomass=14980;fitness=16980;lowestEnergy=0;highestEnergy=974;meanEnergy=254.176;meanBiomass=7791.299;nGenes=22;nSites=46
energy=329;biomass=31640;fitness=33640;lowestEnergy=0;highestEnergy=1005;meanEnergy=285.144;meanBiomass=15948.431;nGenes=21;nSites=38
energy=235;biomass=31510;fitness=33510;lowestEnergy=0;highestEnergy=994;meanEnergy=276.296;meanBiomass=14689.720;nGenes=21;nSites=36
energy=288;biomass=41380;fitness=43380;lowestEnergy=0;highestEnergy=988;meanEnergy=302.639;meanBiomass=21396.887;nGenes=20;nSites=30
energy=371;biomass=42640;fitness=44640;lowestEnergy=0;highestEnergy=994;meanEnergy=323.503;meanBiomass=21754.138;nGenes=21;nSites=27
energy=237;biomass=10040;fitness=12040;lowestEnergy=0;highestEnergy=991;meanEnergy=301.479;meanBiomass=4664.263;nGenes=22;nSites=26
energy=326;biomass=8550;fitness=10550;lowestEnergy=0;highestEnergy=988;meanEnergy=295.838;meanBiomass=4380.620;nGenes=22;nSites=24
energy=341;biomass=49800;fitness=51800;lowestEnergy=0;highestEnergy=989;meanEnergy=317.257;meanBiomass=24488.001;nGenes=22;nSites=25
energy=251;biomass=61320;fitness=63320;lowestEnergy=0;highestEnergy=982;meanEnergy=253.668;meanBiomass=31473.638;nGenes=23;nSites=28
energy=273;biomass=13040;fitness=15040;lowestEnergy=0;highestEnergy=987;meanEnergy=275.306;meanBiomass=6427.291;nGenes=22;nSites=20
energy=361;biomass=14980;fitness=16980;lowestEnergy=0;highestEnergy=981;meanEnergy=276.708;meanBiomass=7562.619;nGenes=23;nSites=26
energy=337;biomass=45910;fitness=47910;lowestEnergy=0;highestEnergy=1006;meanEnergy=292.487;meanBiomass=22422.644;nGenes=22;nSites=23
energy=360;biomass=46950;fitness=48950;lowestEnergy=0;highestEnergy=982;meanEnergy=283.409;meanBiomass=23170.580;nGenes=21;nSites=25
energy=274;biomass=37310;fitness=39310;lowestEnergy=0;highestEnergy=987;meanEnergy=268.839;meanBiomass=18807.716;nGenes=22;nSites=39
energy=332;biomass=37100;fitness=39100;lowestEnergy=0;highestEnergy=988;meanEnergy=274.812;meanBiomass=20047.906;nGenes=22;nSites=42
energy=285;biomass=35050;fitness=37050;lowestEnergy=0;highestEnergy=982;meanEnergy=324.533;meanBiomass=16850.360;nGenes=20;nSites=36
energy=365;biomass=47560;fitness=49560;lowestEnergy=0;highestEnergy=1008;meanEnergy=279.860;meanBiomass=24164.668;nGenes=20;nSites=29
energy=348;biomass=49990;fitness=51990;lowestEnergy=0;highestEnergy=982;meanEnergy=305.017;meanBiomass=24935.982;nGenes=21;nSites=25
energy=356;biomass=51290;fitness=53290;lowestEnergy=0;highestEnergy=986;meanEnergy=297.430;meanBiomass=25535.227;nGenes=20;nSites=17
energy=376;biomass=28570;fitness=30570;lowestEnergy=0;highestEnergy=1007;meanEnergy=292.828;meanBiomass=13810.905;nGenes=20;nSites=13
energy=292;biomass=28730;fitness=30730;lowestEnergy=0;highestEnergy=978;meanEnergy=298.035;meanBiomass=14437.396;nGenes=20;nSites=10
energy=362;biomass=52130;fitness=54130;lowestEnergy=0;highestEnergy=980;meanEnergy=323.344;meanBiomass=26275.427;nGenes=20;nSites=13
energy=455;biomass=57620;fitness=59620;lowestEnergy=0;highestEnergy=979;meanEnergy=296.712;meanBiomass=29181.814;nGenes=20;nSites=13
energy=355;biomass=48540;fitness=50540;lowestEnergy=0;highestEnergy=984;meanEnergy=296.761;meanBiomass=23587.931;nGenes=19;nSites=14
energy=342;biomass=49020;fitness=51020;lowestEnergy=0;highestEnergy=992;meanEnergy=286.077;meanBiomass=24860.460;nGenes=19;nSites=12
energy=372;biomass=40790;fitness=42790;lowestEnergy=0;highestEnergy=985;meanEnergy=293.256;meanBiomass=19842.944;nGenes=21;nSites=27
energy=323;biomass=40490;fitness=42490;lowestEnergy=0;highestEnergy=991;meanEnergy=309.663;meanBiomass=21390.050;nGenes=23;nSites=31
energy=325;biomass=41620;fitness=43620;lowestEnergy=0;highestEnergy=1000;meanEnergy=295.950;meanBiomass=21855.287;nGenes=23;nSites=26
energy=345;biomass=47060;fitness=49060;lowestEnergy=0;highestEnergy=981;meanEnergy=309.630;meanBiomass=23447.971;nGenes=23;nSites=26
energy=397;biomass=56020;fitness=58020;lowestEnergy=0;highestEnergy=990;meanEnergy=310.492;meanBiomass=28075.157;nGenes=24;nSites=23
energy=334;biomass=56680;fitness=58680;lowestEnergy=0;highestEnergy=1009;meanEnergy=291.399;meanBiomass=28167.271;nGenes=24;nSites=30
